"COMPUTERNAME","OUPATH","ADDEDBY","DATEADDED","SUCCESSFUL","ERRORS"
"OLAB-TEST-001","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/10/2020 12:07:38 AM","True",""
"OLAB-TEST-002","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/10/2020 12:07:39 AM","True",""
"OLAB-TEST-003","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/10/2020 12:07:40 AM","True",""
"OLAB-TEST-004","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/10/2020 12:07:41 AM","True",""
"OLAB-TEST-005","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/10/2020 12:07:42 AM","True",""
"DESKTOP-0BA2EP0","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/10/2020 12:07:43 AM","True",""
"LIBR-0105-GA3","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/10/2020 12:07:44 AM","True",""
"STUCOMP-JAMF","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/15/2020 12:44:58 PM","True",
"GLAS-0229-LA1","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","1/4/2021 5:51:21 PM","True",
"GLAS-0229-LA1","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","1/11/2021 1:51:32 PM","True",
"LIBR-0105-LA1","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","1/11/2021 2:03:02 PM","True",
"KARL-0231-001","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","2/24/2021 7:19:36 PM","True",
"KARL-0233-018","OU=KARL-0233,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","2/24/2021 7:20:22 PM","True",
"OLAB-TEST-001","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/8/2021 7:06:47 PM","True",""
"OLAB-TEST-002","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/8/2021 7:06:48 PM","True",""
"OLAB-TEST-003","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/8/2021 7:06:49 PM","True",""
"OLAB-TEST-004","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/8/2021 7:06:50 PM","True",""
"OLAB-TEST-005","OU=TEST-LABS,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/8/2021 7:06:51 PM","True",""
"DESKTOP-0BA2EP0","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/8/2021 7:06:52 PM","True",""
"LIBR-0105-GA3","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","3/8/2021 7:06:53 PM","True",""
