COMPUTERNAME,COMPUTERMAC,COMPUTERDESC,COMPUTEROU,DEPLOYMENTSERVER
CHEK-0135-001,5C-F9-DD-E7-AE-E4,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-002,5C-F9-DD-E7-31-35,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-003,5C-F9-DD-E8-17-73,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-004,5C-F9-DD-E7-13-F1,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-005,5C-F9-DD-E7-31-8E,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-006,5C-F9-DD-E7-1C-8E,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-007,5C-F9-DD-E7-FF-37,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-008,5C-F9-DD-E7-0D-67,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-009,5C-F9-DD-E6-FB-41,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-010,5C-F9-DD-E6-F5-46,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-011,5C-F9-DD-E8-25-10,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-012,5C-F9-DD-E7-33-6D,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-013,5C-F9-DD-E7-32-AF,Dell AIO 9010,CHEK-0135,SCUF
CHEK-0135-014,5C-F9-DD-E7-15-BC,Dell AIO 9010,CHEK-0135,SCUF
BEARCLAW-001,14-18-77-FF-F8-BA,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-002,5C-F9-DD-E6-DA-BE,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-003,5C-F9-DD-E7-20-CD,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-004,5C-F9-DD-E7-13-42,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-005,5C-F9-DD-E7-DD-C3,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-006,5C-F9-DD-E7-31-70,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-007,5C-F9-DD-E6-F0-39,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-008,5C-F9-DD-E7-33-80,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-009,5C-F9-DD-E6-FF-CC,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-010,5C-F9-DD-E7-15-37,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-011,5C-F9-DD-E6-DA-45,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-012,5C-F9-DD-E6-F6-07,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-013,5C-F9-DD-E6-FB-55,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-014,5C-F9-DD-E6-EE-7B,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-015,5C-F9-DD-E6-AD-48,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-016,5C-F9-DD-E6-DB-25,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-017,C8-1F-66-AE-CB-7B,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-018,C8-1F-66-AF-9E-3F,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-019,C8-1F-66-AF-9E-28,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-020,C8-1F-66-AE-AE-E7,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-021,C8-1F-66-AF-54-6A,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-022,C8-1F-66-AF-E8-38,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-023,C8-1F-66-AF-07-30,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-024,C8-1F-66-B1-68-86,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-025,F4-8E-38-FF-F9-36,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-026,C8-1F-66-AE-F6-6D,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-027,C8-1F-66-AF-E8-D3,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-028,5C-F9-DD-E3-3F-95,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-029,C8-1F-66-AF-96-D8,Dell AIO 9010,LIBR-0114,SCUF
BEARCLAW-030,C8-1F-66-AF-24-6D,Dell AIO 9010,LIBR-0114,SCUF
